flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,mean_active,mean_idle,Status
10.4275907098,0.2005305906,7480155.5,10500000.0,15000000.0,14900000.0,0
4081.1521406428,78.4836950124,25483.0,0.0,0.0,0.0,0
357389.420921145,327.1264386223,3057.2337821298,13085.3306811291,0.0,0.0,0
4133.8739168455,79.497575324,25158.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
224818.642969348,55.5405906372,18015.6636636637,46507.4984461554,0.0,0.0,0
209000000.0,76923.0769230769,26.0,0.0,0.0,0.0,0
271596.326990462,73.2567073536,13656.8745995423,28114.9717476014,0.0,0.0,0
321713.792997405,156.054469885,6411.0559241706,197321.028414394,6746481.0,6404729.5,0
510454.721074498,267.6024708321,3737.8748677249,95799.4096839693,4002137.33333333,3391428.33333333,0
781.9821067111,2.9911883863,360031.846153846,649741.471460938,2340174.5,1676027.0,0
224080.530068072,92.5261578742,10809.7043117445,185619.623830872,3989524.53333333,3558642.46666667,0
61.8166329157,0.5013514429,2216232.0,6618821.51364473,19900000.0,19900000.0,0
34.7674807717,0.6686053995,2991301.0,0.0,2991301.0,2991301.0,0
251632.207506506,67.8125836394,14761.0541871921,19487.990526637,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
67.5988373,1.2999776404,1538488.0,0.0,1538488.0,1538488.0,0
290540.01237138,142.852297669,7004.1968325792,150222.574397474,4002649.66666667,3646140.0,0
344691.087400992,100.3977970466,9967.0093209055,17207.4530287534,0.0,0.0,0
66.8568916035,0.5422294534,2049153.0,6117822.3304878,18400000.0,18400000.0,0
453688.32586405,229.2512622637,4363.5078125,103625.265454456,4070986.0,3241172.66666667,0
127357.519778058,255.2007441983,3982.7213114754,10143.0748011162,0.0,0.0,0
218542.191856035,102.522013745,9757.3091525424,154040.340175395,4058856.28571429,3108450.0,0
9928315.9144354,5365.3034499977,186.4170345843,742.6979078063,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
11665.25154608,4.8817974319,205532.28956229,2748664.34167594,30500000.0,30000000.0,0
140574.120555988,47.2418468279,21182.6332155477,37673.6530813617,0.0,0.0,0
272420.266066701,64.5411040823,15510.0248190279,18119.9972186344,0.0,0.0,0
10.4353151937,0.2006791383,7474618.5,10500000.0,14900000.0,14900000.0,0
1536650.50470704,668.7592207508,1495.4559264441,6881.6327635061,0.0,0.0,0
11800000.0,6021.222423655,166.1069402736,5460.2108325565,0.0,0.0,0
235328.871580734,100.9176799866,9912.5348267413,174627.454929133,4002671.71428571,3527840.14285714,0
154655.794929187,146.5552846503,7505.7,15382.5405685941,0.0,0.0,0
14.7195862211,0.2830689658,7065416.0,0.0,7065416.0,7065416.0,0
11099.7737842017,6.8380246885,146954.434146341,2097673.7178995,30100000.0,30000000.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
93350.611381936,49.0096708675,20407.7603907638,634268.636680371,16400000.0,16300000.0,0
6939.023332466,173.4755833116,11529.0,0.0,0.0,0.0,0
103342.573615492,96.3588274612,10381.4710772428,113348.53018349,4856648.66666667,2124396.0,0
6747.3414008068,146.6813348001,13635.0,0.0,0.0,0.0,0
333483.030413746,79.2553231267,12628.0876897133,36191.0308610861,0.0,0.0,0
254881.397783437,120.5798567803,8294.4728523343,162367.640249563,4016497.57142857,3586097.07142857,0
7815394.22756555,4191.2124107875,238.6282596372,7228.3665674802,0.0,0.0,0
67.5991448708,1.2999835552,1538481.0,0.0,1538481.0,1538481.0,0
485892.644720362,232.1680203899,4308.6859952526,105948.659530991,4002848.0,3316246.66666667,0
175473.869388623,160.6219431287,6226.446859401,189384.136733689,29800000.0,9753420.0,0
203302.455680558,74.2934867149,13473.0229885057,298203.459563146,7015499.0,6813800.0,0
37462.1178110454,19.5239251448,51266.5901942646,1079562.21958031,18500000.0,18100000.0,0
617000000.0,181818.181818182,11.0,0.0,0.0,0.0,0
11800000.0,6021.222423655,166.1069402736,5460.2108325565,0.0,0.0,0
1386399.63932515,658.2810312237,1519.2664511419,6977.9388811092,0.0,0.0,0
153486.158483382,145.4218555829,7564.2,15355.8723135845,0.0,0.0,0
7428571.42857143,142857.142857143,14.0,0.0,0.0,0.0,0
61.5508170135,0.4991955962,2225803.11111111,6645976.13316866,20000000.0,19900000.0,0
323.2827393858,0.9218058654,1152628.8125,4563214.07074978,18400000.0,18300000.0,0
20.1485932924,0.3874729479,3871238.0,5414770.58609882,7742476.0,7700059.0,0
14900000.0,285714.285714286,7.0,0.0,0.0,0.0,0
245066.282004529,222.8270520009,4488.1212030525,21682.6404219594,19100000.0,1130359.0,0
10.4465512251,0.2008952159,7466579.0,10500000.0,14900000.0,14900000.0,0
1665199.24760184,854.3786320525,1170.5327548468,6422.1693097345,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
323740.280007923,68.2766916269,14660.6317335945,25490.503742023,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
151314.568457851,59.3614481828,16868.653638814,234628.900813845,3934513.0,3692410.66666667,0
67.5988373,1.2999776404,1538488.0,0.0,1538488.0,1538488.0,0
322290.126283559,146.1239879824,6845.1370255431,144366.762477965,4004634.28571429,3490595.57142857,0
37462.1178110454,19.5239251448,51266.5901942646,1079562.21958031,18500000.0,18100000.0,0
384694.973486957,157.4475502848,6354.5635528331,134440.557975605,4005128.66666667,3401678.0,0
390007.233457512,202.2715361947,4945.779773526,106928.192702763,4005817.0,3030612.33333333,0
7428571.42857143,142857.142857143,14.0,0.0,0.0,0.0,0
33.1780240254,0.6380389236,3134605.0,0.0,3134605.0,3134605.0,0
124000000.0,45454.5454545455,44.0,0.0,0.0,0.0,0
227343.750286594,65.9645587566,15167.3237228123,23723.5994211641,0.0,0.0,0
66.8492723487,0.542167659,2049386.55555556,6118019.80361419,18400000.0,18400000.0,0
2260869.56521739,43478.2608695652,46.0,0.0,0.0,0.0,0
115002.374176377,107.9108655564,9268.3818615752,266583.132109612,15100000.0,14300000.0,0
121560.682131733,107.4542377221,9312.4503311258,78536.2538392592,3689832.0,1562450.66666667,0
12144.1831683168,154.702970297,8618.6666666667,14906.3203317698,0.0,0.0,0
305808.800866602,76.7700857324,13037.2339130435,37277.5327132351,0.0,0.0,0
14900000.0,285714.285714286,7.0,0.0,0.0,0.0,0
11100000.0,5862.5622897243,170.5897938241,4472.5365038585,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
